season,round,raceName,circuitName,locality,country,date,time,url
1958,3,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1958-05-26,,http://en.wikipedia.org/wiki/1958_Dutch_Grand_Prix
1958,4,Indianapolis 500,Indianapolis Motor Speedway,Indianapolis,USA,1958-05-30,,http://en.wikipedia.org/wiki/1958_Indianapolis_500
1958,5,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,1958-06-15,,http://en.wikipedia.org/wiki/1958_Belgian_Grand_Prix
1958,6,French Grand Prix,Reims-Gueux,Reims,France,1958-07-06,,http://en.wikipedia.org/wiki/1958_French_Grand_Prix
1958,7,British Grand Prix,Silverstone Circuit,Silverstone,UK,1958-07-19,,http://en.wikipedia.org/wiki/1958_British_Grand_Prix
1958,8,German Grand Prix,Nürburgring,Nürburg,Germany,1958-08-03,,http://en.wikipedia.org/wiki/1958_German_Grand_Prix
1958,9,Portuguese Grand Prix,Circuito da Boavista,Oporto,Portugal,1958-08-24,,http://en.wikipedia.org/wiki/1958_Portuguese_Grand_Prix
1958,10,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1958-09-07,,http://en.wikipedia.org/wiki/1958_Italian_Grand_Prix
1958,11,Moroccan Grand Prix,Ain Diab,Casablanca,Morocco,1958-10-19,,http://en.wikipedia.org/wiki/1958_Moroccan_Grand_Prix
1959,1,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1959-05-10,,http://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix
1959,2,Indianapolis 500,Indianapolis Motor Speedway,Indianapolis,USA,1959-05-30,,http://en.wikipedia.org/wiki/1959_Indianapolis_500
1959,3,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1959-05-31,,http://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix
1959,4,French Grand Prix,Reims-Gueux,Reims,France,1959-07-05,,http://en.wikipedia.org/wiki/1959_French_Grand_Prix
1959,5,British Grand Prix,Aintree,Liverpool,UK,1959-07-18,,http://en.wikipedia.org/wiki/1959_British_Grand_Prix
1959,6,German Grand Prix,AVUS,Berlin,Germany,1959-08-02,,http://en.wikipedia.org/wiki/1959_German_Grand_Prix
1959,7,Portuguese Grand Prix,Monsanto Park Circuit,Lisbon,Portugal,1959-08-23,,http://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix
1959,8,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1959-09-13,,http://en.wikipedia.org/wiki/1959_Italian_Grand_Prix
1959,9,United States Grand Prix,Sebring International Raceway,Florida,USA,1959-12-12,,http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix
1960,1,Argentine Grand Prix,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,1960-02-07,,http://en.wikipedia.org/wiki/1960_Argentine_Grand_Prix
1960,2,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1960-05-29,,http://en.wikipedia.org/wiki/1960_Monaco_Grand_Prix
1960,3,Indianapolis 500,Indianapolis Motor Speedway,Indianapolis,USA,1960-05-30,,http://en.wikipedia.org/wiki/1960_Indianapolis_500
1960,4,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1960-06-06,,http://en.wikipedia.org/wiki/1960_Dutch_Grand_Prix
1960,5,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,1960-06-19,,http://en.wikipedia.org/wiki/1960_Belgian_Grand_Prix
1960,6,French Grand Prix,Reims-Gueux,Reims,France,1960-07-03,,http://en.wikipedia.org/wiki/1960_French_Grand_Prix
1960,7,British Grand Prix,Silverstone Circuit,Silverstone,UK,1960-07-16,,http://en.wikipedia.org/wiki/1960_British_Grand_Prix
1960,8,Portuguese Grand Prix,Circuito da Boavista,Oporto,Portugal,1960-08-14,,http://en.wikipedia.org/wiki/1960_Portuguese_Grand_Prix
1960,9,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1960-09-04,,http://en.wikipedia.org/wiki/1960_Italian_Grand_Prix
1960,10,United States Grand Prix,Riverside International Raceway,California,USA,1960-11-20,,http://en.wikipedia.org/wiki/1960_United_States_Grand_Prix
1961,1,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1961-05-14,,http://en.wikipedia.org/wiki/1961_Monaco_Grand_Prix
1961,2,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1961-05-22,,http://en.wikipedia.org/wiki/1961_Dutch_Grand_Prix
1961,3,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,1961-06-18,,http://en.wikipedia.org/wiki/1961_Belgian_Grand_Prix
1961,4,French Grand Prix,Reims-Gueux,Reims,France,1961-07-02,,http://en.wikipedia.org/wiki/1961_French_Grand_Prix
1961,5,British Grand Prix,Aintree,Liverpool,UK,1961-07-15,,http://en.wikipedia.org/wiki/1961_British_Grand_Prix
1961,6,German Grand Prix,Nürburgring,Nürburg,Germany,1961-08-06,,http://en.wikipedia.org/wiki/1961_German_Grand_Prix
1961,7,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1961-09-10,,http://en.wikipedia.org/wiki/1961_Italian_Grand_Prix
1961,8,United States Grand Prix,Watkins Glen,New York State,USA,1961-10-08,,http://en.wikipedia.org/wiki/1961_United_States_Grand_Prix
1962,1,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1962-05-20,,http://en.wikipedia.org/wiki/1962_Dutch_Grand_Prix
1962,2,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1962-06-03,,http://en.wikipedia.org/wiki/1962_Monaco_Grand_Prix
1962,3,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,1962-06-17,,http://en.wikipedia.org/wiki/1962_Belgian_Grand_Prix
1962,4,French Grand Prix,Rouen-Les-Essarts,Rouen,France,1962-07-08,,http://en.wikipedia.org/wiki/1962_French_Grand_Prix
1962,5,British Grand Prix,Aintree,Liverpool,UK,1962-07-21,,http://en.wikipedia.org/wiki/1962_British_Grand_Prix
1962,6,German Grand Prix,Nürburgring,Nürburg,Germany,1962-08-05,,http://en.wikipedia.org/wiki/1962_German_Grand_Prix
1962,7,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1962-09-16,,http://en.wikipedia.org/wiki/1962_Italian_Grand_Prix
1962,8,United States Grand Prix,Watkins Glen,New York State,USA,1962-10-07,,http://en.wikipedia.org/wiki/1962_United_States_Grand_Prix
1962,9,South African Grand Prix,Prince George Circuit,Eastern Cape Province,South Africa,1962-12-29,,http://en.wikipedia.org/wiki/1962_South_African_Grand_Prix
1963,1,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1963-05-26,,http://en.wikipedia.org/wiki/1963_Monaco_Grand_Prix
1963,2,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,1963-06-09,,http://en.wikipedia.org/wiki/1963_Belgian_Grand_Prix
1963,3,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1963-06-23,,http://en.wikipedia.org/wiki/1963_Dutch_Grand_Prix
1963,4,French Grand Prix,Reims-Gueux,Reims,France,1963-06-30,,http://en.wikipedia.org/wiki/1963_French_Grand_Prix
1963,5,British Grand Prix,Silverstone Circuit,Silverstone,UK,1963-07-20,,http://en.wikipedia.org/wiki/1963_British_Grand_Prix
1963,6,German Grand Prix,Nürburgring,Nürburg,Germany,1963-08-04,,http://en.wikipedia.org/wiki/1963_German_Grand_Prix
1963,7,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1963-09-08,,http://en.wikipedia.org/wiki/1963_Italian_Grand_Prix
1963,8,United States Grand Prix,Watkins Glen,New York State,USA,1963-10-06,,http://en.wikipedia.org/wiki/1963_United_States_Grand_Prix
1963,9,Mexican Grand Prix,Autódromo Hermanos Rodríguez,Mexico City,Mexico,1963-10-27,,http://en.wikipedia.org/wiki/1963_Mexican_Grand_Prix
1963,10,South African Grand Prix,Prince George Circuit,Eastern Cape Province,South Africa,1963-12-28,,http://en.wikipedia.org/wiki/1963_South_African_Grand_Prix
1964,1,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1964-05-10,,http://en.wikipedia.org/wiki/1964_Monaco_Grand_Prix
1964,2,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1964-05-24,,http://en.wikipedia.org/wiki/1964_Dutch_Grand_Prix
1964,3,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,1964-06-14,,http://en.wikipedia.org/wiki/1964_Belgian_Grand_Prix
1964,4,French Grand Prix,Rouen-Les-Essarts,Rouen,France,1964-06-28,,http://en.wikipedia.org/wiki/1964_French_Grand_Prix
1964,5,British Grand Prix,Brands Hatch,Kent,UK,1964-07-11,,http://en.wikipedia.org/wiki/1964_British_Grand_Prix
1964,6,German Grand Prix,Nürburgring,Nürburg,Germany,1964-08-02,,http://en.wikipedia.org/wiki/1964_German_Grand_Prix
1964,7,Austrian Grand Prix,Zeltweg,Styria,Austria,1964-08-23,,http://en.wikipedia.org/wiki/1964_Austrian_Grand_Prix
1964,8,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1964-09-06,,http://en.wikipedia.org/wiki/1964_Italian_Grand_Prix
1964,9,United States Grand Prix,Watkins Glen,New York State,USA,1964-10-04,,http://en.wikipedia.org/wiki/1964_United_States_Grand_Prix
1964,10,Mexican Grand Prix,Autódromo Hermanos Rodríguez,Mexico City,Mexico,1964-10-25,,http://en.wikipedia.org/wiki/1964_Mexican_Grand_Prix
1965,1,South African Grand Prix,Prince George Circuit,Eastern Cape Province,South Africa,1965-01-01,,http://en.wikipedia.org/wiki/1965_South_African_Grand_Prix
1965,2,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1965-05-30,,http://en.wikipedia.org/wiki/1965_Monaco_Grand_Prix
1965,3,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,1965-06-13,,http://en.wikipedia.org/wiki/1965_Belgian_Grand_Prix
1965,4,French Grand Prix,Charade Circuit,Clermont-Ferrand,France,1965-06-27,,http://en.wikipedia.org/wiki/1965_French_Grand_Prix
1965,5,British Grand Prix,Silverstone Circuit,Silverstone,UK,1965-07-10,,http://en.wikipedia.org/wiki/1965_British_Grand_Prix
1965,6,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1965-07-18,,http://en.wikipedia.org/wiki/1965_Dutch_Grand_Prix
1965,7,German Grand Prix,Nürburgring,Nürburg,Germany,1965-08-01,,http://en.wikipedia.org/wiki/1965_German_Grand_Prix
1965,8,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1965-09-12,,http://en.wikipedia.org/wiki/1965_Italian_Grand_Prix
1965,9,United States Grand Prix,Watkins Glen,New York State,USA,1965-10-03,,http://en.wikipedia.org/wiki/1965_United_States_Grand_Prix
1965,10,Mexican Grand Prix,Autódromo Hermanos Rodríguez,Mexico City,Mexico,1965-10-24,,http://en.wikipedia.org/wiki/1965_Mexican_Grand_Prix
1966,1,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1966-05-22,,http://en.wikipedia.org/wiki/1966_Monaco_Grand_Prix
1966,2,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,1966-06-12,,http://en.wikipedia.org/wiki/1966_Belgian_Grand_Prix
1966,3,French Grand Prix,Reims-Gueux,Reims,France,1966-07-03,,http://en.wikipedia.org/wiki/1966_French_Grand_Prix
1966,4,British Grand Prix,Brands Hatch,Kent,UK,1966-07-16,,http://en.wikipedia.org/wiki/1966_British_Grand_Prix
1966,5,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1966-07-24,,http://en.wikipedia.org/wiki/1966_Dutch_Grand_Prix
1966,6,German Grand Prix,Nürburgring,Nürburg,Germany,1966-08-07,,http://en.wikipedia.org/wiki/1966_German_Grand_Prix
1966,7,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1966-09-04,,http://en.wikipedia.org/wiki/1966_Italian_Grand_Prix
1966,8,United States Grand Prix,Watkins Glen,New York State,USA,1966-10-02,,http://en.wikipedia.org/wiki/1966_United_States_Grand_Prix
1966,9,Mexican Grand Prix,Autódromo Hermanos Rodríguez,Mexico City,Mexico,1966-10-23,,http://en.wikipedia.org/wiki/1966_Mexican_Grand_Prix
1967,1,South African Grand Prix,Kyalami,Midrand,South Africa,1967-01-02,,http://en.wikipedia.org/wiki/1967_South_African_Grand_Prix
1967,2,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1967-05-07,,http://en.wikipedia.org/wiki/1967_Monaco_Grand_Prix
1967,3,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1967-06-04,,http://en.wikipedia.org/wiki/1967_Dutch_Grand_Prix
1967,4,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,1967-06-18,,http://en.wikipedia.org/wiki/1967_Belgian_Grand_Prix
1967,5,French Grand Prix,Le Mans,Le Mans,France,1967-07-02,,http://en.wikipedia.org/wiki/1967_French_Grand_Prix
1967,6,British Grand Prix,Silverstone Circuit,Silverstone,UK,1967-07-15,,http://en.wikipedia.org/wiki/1967_British_Grand_Prix
1967,7,German Grand Prix,Nürburgring,Nürburg,Germany,1967-08-06,,http://en.wikipedia.org/wiki/1967_German_Grand_Prix
1967,8,Canadian Grand Prix,Mosport International Raceway,Ontario,Canada,1967-08-27,,http://en.wikipedia.org/wiki/1967_Canadian_Grand_Prix
1967,9,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1967-09-10,,http://en.wikipedia.org/wiki/1967_Italian_Grand_Prix
1967,10,United States Grand Prix,Watkins Glen,New York State,USA,1967-10-01,,http://en.wikipedia.org/wiki/1967_United_States_Grand_Prix
1967,11,Mexican Grand Prix,Autódromo Hermanos Rodríguez,Mexico City,Mexico,1967-10-22,,http://en.wikipedia.org/wiki/1967_Mexican_Grand_Prix
1968,1,South African Grand Prix,Kyalami,Midrand,South Africa,1968-01-01,,http://en.wikipedia.org/wiki/1968_South_African_Grand_Prix
1968,2,Spanish Grand Prix,Jarama,Madrid,Spain,1968-05-12,,http://en.wikipedia.org/wiki/1968_Spanish_Grand_Prix
1968,3,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1968-05-26,,http://en.wikipedia.org/wiki/1968_Monaco_Grand_Prix
1968,4,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,1968-06-09,,http://en.wikipedia.org/wiki/1968_Belgian_Grand_Prix
1968,5,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1968-06-23,,http://en.wikipedia.org/wiki/1968_Dutch_Grand_Prix
1968,6,French Grand Prix,Rouen-Les-Essarts,Rouen,France,1968-07-07,,http://en.wikipedia.org/wiki/1968_French_Grand_Prix
1968,7,British Grand Prix,Brands Hatch,Kent,UK,1968-07-20,,http://en.wikipedia.org/wiki/1968_British_Grand_Prix
1968,8,German Grand Prix,Nürburgring,Nürburg,Germany,1968-08-04,,http://en.wikipedia.org/wiki/1968_German_Grand_Prix
1968,9,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1968-09-08,,http://en.wikipedia.org/wiki/1968_Italian_Grand_Prix
1968,10,Canadian Grand Prix,Circuit Mont-Tremblant,Quebec,Canada,1968-09-22,,http://en.wikipedia.org/wiki/1968_Canadian_Grand_Prix
1968,11,United States Grand Prix,Watkins Glen,New York State,USA,1968-10-06,,http://en.wikipedia.org/wiki/1968_United_States_Grand_Prix
1968,12,Mexican Grand Prix,Autódromo Hermanos Rodríguez,Mexico City,Mexico,1968-11-03,,http://en.wikipedia.org/wiki/1968_Mexican_Grand_Prix
1969,1,South African Grand Prix,Kyalami,Midrand,South Africa,1969-03-01,,http://en.wikipedia.org/wiki/1969_South_African_Grand_Prix
1969,2,Spanish Grand Prix,Montjuïc,Barcelona,Spain,1969-05-04,,http://en.wikipedia.org/wiki/1969_Spanish_Grand_Prix
1969,3,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1969-05-18,,http://en.wikipedia.org/wiki/1969_Monaco_Grand_Prix
1969,4,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1969-06-21,,http://en.wikipedia.org/wiki/1969_Dutch_Grand_Prix
1969,5,French Grand Prix,Charade Circuit,Clermont-Ferrand,France,1969-07-06,,http://en.wikipedia.org/wiki/1969_French_Grand_Prix
1969,6,British Grand Prix,Silverstone Circuit,Silverstone,UK,1969-07-19,,http://en.wikipedia.org/wiki/1969_British_Grand_Prix
1969,7,German Grand Prix,Nürburgring,Nürburg,Germany,1969-08-03,,http://en.wikipedia.org/wiki/1969_German_Grand_Prix
1969,8,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1969-09-07,,http://en.wikipedia.org/wiki/1969_Italian_Grand_Prix
1969,9,Canadian Grand Prix,Mosport International Raceway,Ontario,Canada,1969-09-20,,http://en.wikipedia.org/wiki/1969_Canadian_Grand_Prix
1969,10,United States Grand Prix,Watkins Glen,New York State,USA,1969-10-05,,http://en.wikipedia.org/wiki/1969_United_States_Grand_Prix
1969,11,Mexican Grand Prix,Autódromo Hermanos Rodríguez,Mexico City,Mexico,1969-10-19,,http://en.wikipedia.org/wiki/1969_Mexican_Grand_Prix
1970,1,South African Grand Prix,Kyalami,Midrand,South Africa,1970-03-07,,http://en.wikipedia.org/wiki/1970_South_African_Grand_Prix
1970,2,Spanish Grand Prix,Jarama,Madrid,Spain,1970-04-19,,http://en.wikipedia.org/wiki/1970_Spanish_Grand_Prix
